"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 10 13:35:28 GMT 2023","Tue Jan 10 13:35:28 GMT 2023","185","tests","test_pet","TestPets","","","test_get_pet_invalid_status[default]","Parameterization is used here, 5 tests will run.
        Returns an empty list as there are no pets with that status"
"skipped","Tue Jan 10 13:35:32 GMT 2023","Tue Jan 10 13:35:32 GMT 2023","43","tests","test_pet","TestPets","","","test_put_update_pet_invalid_id[pending]","This test used parametrize fixture here, 3 tests will run.
        Update pet name by invalid id using PUT method,
        checks that the pet's name has been updated"
"passed","Tue Jan 10 13:35:30 GMT 2023","Tue Jan 10 13:35:30 GMT 2023","133","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_whitespace_integer-invalid_whitespace]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"passed","Tue Jan 10 13:35:27 GMT 2023","Tue Jan 10 13:35:27 GMT 2023","100","tests","test_pet","TestPets","","","test_post_add_new_pet[pending]","Creates a new pet, check if there is a pet with that name and that id"
"passed","Tue Jan 10 13:35:27 GMT 2023","Tue Jan 10 13:35:27 GMT 2023","55","tests","test_pet","TestPets","","","test_get_pet_invalid_id[rus_string]","Parameterization is used here, 4 tests will run
        Trying to find a pet by invalid id"
"passed","Tue Jan 10 13:35:29 GMT 2023","Tue Jan 10 13:35:30 GMT 2023","131","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_whitespace_integer-invalid_symbol]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"skipped","Tue Jan 10 13:35:33 GMT 2023","Tue Jan 10 13:35:34 GMT 2023","41","tests","test_user","","","","test_post_new_user_negative[empty-string]","Creates new user, verifies if the user is created"
"passed","Tue Jan 10 13:35:37 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","40","tests","test_user","","","","test_get_login_negative[kirill-int]",""
"passed","Tue Jan 10 13:35:31 GMT 2023","Tue Jan 10 13:35:31 GMT 2023","133","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data_2[invalid_russian_string-invalid_empty]","This test used parametrize fixture here, 7 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have not been updated"
"passed","Tue Jan 10 13:35:36 GMT 2023","Tue Jan 10 13:35:36 GMT 2023","41","tests","test_user","","","","test_get_login_negative[one int-long name]",""
"passed","Tue Jan 10 13:35:29 GMT 2023","Tue Jan 10 13:35:29 GMT 2023","138","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_negative_integer-invalid_non-existent status]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"passed","Tue Jan 10 13:35:36 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","40","tests","test_user","","","","test_get_login_negative[kirill-backspace]",""
"skipped","Tue Jan 10 13:35:34 GMT 2023","Tue Jan 10 13:35:34 GMT 2023","40","tests","test_user","","","","test_post_new_user_negative[empty-whitespace]","Creates new user, verifies if the user is created"
"passed","Tue Jan 10 13:35:33 GMT 2023","Tue Jan 10 13:35:33 GMT 2023","120","tests","test_store","","","","test_get_order_by_id","Gets an order by ID, if order not found, create a new one."
"passed","Tue Jan 10 13:35:35 GMT 2023","Tue Jan 10 13:35:35 GMT 2023","119","tests","test_user","","","","test_put_user","Create user, update user, verifies if the user is updated"
"passed","Tue Jan 10 13:35:37 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","40","tests","test_user","","","","test_get_login_negative[very long pass-empty]",""
"passed","Tue Jan 10 13:35:35 GMT 2023","Tue Jan 10 13:35:35 GMT 2023","41","tests","test_user","","","","test_get_login_positive[upper-random]",""
"passed","Tue Jan 10 13:35:29 GMT 2023","Tue Jan 10 13:35:29 GMT 2023","135","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_negative_integer-invalid_symbol]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"passed","Tue Jan 10 13:35:36 GMT 2023","Tue Jan 10 13:35:36 GMT 2023","42","tests","test_user","","","","test_get_login_negative[@-very long name]",""
"skipped","Tue Jan 10 13:35:32 GMT 2023","Tue Jan 10 13:35:32 GMT 2023","44","tests","test_pet","TestPets","","","test_put_update_pet_invalid_id[available]","This test used parametrize fixture here, 3 tests will run.
        Update pet name by invalid id using PUT method,
        checks that the pet's name has been updated"
"skipped","Tue Jan 10 13:35:35 GMT 2023","Tue Jan 10 13:35:35 GMT 2023","42","tests","test_user","","","","test_post_new_user_negative[simbols-whitespace]","Creates new user, verifies if the user is created"
"passed","Tue Jan 10 13:35:37 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","41","tests","test_user","","","","test_get_login_negative[kirill-very long name]",""
"passed","Tue Jan 10 13:35:37 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","41","tests","test_user","","","","test_get_login_negative[long pass-empty]",""
"passed","Tue Jan 10 13:35:36 GMT 2023","Tue Jan 10 13:35:36 GMT 2023","40","tests","test_user","","","","test_get_login_negative[one int-empty]",""
"passed","Tue Jan 10 13:35:37 GMT 2023","Tue Jan 10 13:35:37 GMT 2023","41","tests","test_user","","","","test_get_login_negative[very long pass-one simbol]",""
"skipped","Tue Jan 10 13:35:34 GMT 2023","Tue Jan 10 13:35:34 GMT 2023","39","tests","test_user","","","","test_post_new_user_negative[russian_string-whitespace]","Creates new user, verifies if the user is created"
"skipped","Tue Jan 10 13:35:35 GMT 2023","Tue Jan 10 13:35:35 GMT 2023","40","tests","test_user","","","","test_post_new_user_negative[very_long_name-empty]","Creates new user, verifies if the user is created"
