"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_003.00.00 | User > Operations about user - login negative","","","0","0","42","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.04.04 | Pet > {petId}> POST 'Updates a pet in the store with invalid data'","0","0","22","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.04.08| Pet > {petId}> GET 'Find pet by invalid ID'","0","0","4","0","0"
"US_001.00.00 | Pet > Everything about your Pets","","","0","0","3","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.04.01 | Pet > {petId}> POST 'Updates a pet in the store with valid data'","0","0","3","0","0"
"US_003.00.00 | User > Operations about user - negative","","","0","0","0","30","0"
"US_003.00.00 | User > Operations about user - login positive","","","0","0","9","0","0"
"US_003.00.00 | User > Operations about user - logout","","","0","0","1","0","0"
"US_003.00.00 | User > Operations about user - positive","","","0","0","2","0","0"
"US_003.00.00 | User > Operations about put user","","","0","0","1","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.02.03 | Pet > {petId}> PUT 'Update an existing pet. Data does not contain id'","0","0","3","0","0"
"","","","0","0","4","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.02.04 | Pet > {petId}> PUT 'Update an existing pet. Data contains invalid id'","0","0","0","3","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.02.02 | Pet > {petId}> PUT 'Update an existing pet. Data contains id'","0","0","3","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.02.00 | Pet > Add a new pet to the store","TC_001.02.01| Pet> POST 'Add a new pet to the store with valid name and id'","0","0","3","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.03.00 | Pet > {petId}/findByStatus","TC_001.03.02 PET> GET 'Find pets by invalid status'","0","0","4","1","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.04.09| Pet > {petId}> GET 'Find pet by invalid ID (ID is empty)'","0","0","1","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.03.00 | Pet > {petId}/findByStatus","TC_001.03.01 PET> GET 'Find pets by valid status'","0","0","3","0","0"
"US_001.00.00 | Pet > Everything about your Pets","TS_001.04.00 | Pet > {petId}","TC_001.04.06| Pet > {petId}> GET 'Find pet by valid ID'","0","0","1","0","0"
