"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 08 06:41:57 GMT 2023","Sun Jan 08 06:41:57 GMT 2023","27","tests","test_user","","","","test_get_login_negative[backspace-long name]",""
"passed","Sun Jan 08 06:41:53 GMT 2023","Sun Jan 08 06:41:53 GMT 2023","87","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_whitespace_integer-invalid_symbol]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"passed","Sun Jan 08 06:41:51 GMT 2023","Sun Jan 08 06:41:51 GMT 2023","44","tests","test_pet","TestPets","","","test_get_pet_invalid_id[whitespace]","Parameterization is used here, 4 tests will run
        Trying to find a pet by invalid id"
"passed","Sun Jan 08 06:41:55 GMT 2023","Sun Jan 08 06:41:55 GMT 2023","81","tests","test_pet","TestPets","","","test_delete_pet",""
"passed","Sun Jan 08 06:41:57 GMT 2023","Sun Jan 08 06:41:57 GMT 2023","29","tests","test_user","","","","test_get_login_negative[kirill-one simbol]",""
"passed","Sun Jan 08 06:41:52 GMT 2023","Sun Jan 08 06:41:52 GMT 2023","78","tests","test_pet","TestPets","","","test_post_update_pet_valid_data[pending]","This test used parametrize fixture here, 3 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
"skipped","Sun Jan 08 06:41:56 GMT 2023","Sun Jan 08 06:41:56 GMT 2023","25","tests","test_user","","","","test_post_new_user_negative[simbols-simbols]","Creates new user, verifies if the user is created"
"passed","Sun Jan 08 06:41:56 GMT 2023","Sun Jan 08 06:41:56 GMT 2023","27","tests","test_user","","","","test_get_login_positive[lower-upper]",""
"passed","Sun Jan 08 06:41:57 GMT 2023","Sun Jan 08 06:41:57 GMT 2023","28","tests","test_user","","","","test_get_login_negative[backspace-very long name]",""
"passed","Sun Jan 08 06:41:58 GMT 2023","Sun Jan 08 06:41:58 GMT 2023","25","tests","test_user","","","","test_get_logout",""
