"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 26 10:59:06 GMT 2022","Mon Dec 26 10:59:07 GMT 2022","314","tests","test_user","","","","test_post_new_user_negative[simbols-string]","Creates new user, verifies if the user is created"
"broken","Mon Dec 26 10:58:55 GMT 2022","Mon Dec 26 10:58:55 GMT 2022","0","tests","test_pet","TestPets","","","test_post_update_pet[available]",""
"skipped","Mon Dec 26 10:59:03 GMT 2022","Mon Dec 26 10:59:03 GMT 2022","295","tests","test_user","","","","test_post_new_user_negative[russian_string-simbols]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:59:00 GMT 2022","Mon Dec 26 10:59:00 GMT 2022","296","tests","test_user","","","","test_post_new_user_negative[empty-string]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:58:55 GMT 2022","Mon Dec 26 10:58:56 GMT 2022","295","tests","test_store","","","","test_post_new_order","Creates an order for a pet, verifies if the order is complete"
"passed","Mon Dec 26 10:58:56 GMT 2022","Mon Dec 26 10:58:57 GMT 2022","941","tests","test_store","","","","test_delete_order_by_id","Delete an existing order"
"broken","Mon Dec 26 10:58:55 GMT 2022","Mon Dec 26 10:58:55 GMT 2022","0","tests","test_pet","TestPets","","","test_delete_pet",""
"broken","Mon Dec 26 10:58:53 GMT 2022","Mon Dec 26 10:58:53 GMT 2022","0","tests","test_pet","TestPets","","","test_get_pet_valid_id",""
"skipped","Mon Dec 26 10:59:08 GMT 2022","Mon Dec 26 10:59:09 GMT 2022","313","tests","test_user","","","","test_post_new_user_negative[very_long_name-negative]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:59:06 GMT 2022","Mon Dec 26 10:59:06 GMT 2022","296","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-simbols]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:59:03 GMT 2022","Mon Dec 26 10:59:03 GMT 2022","324","tests","test_user","","","","test_post_new_user_negative[negative_integer-empty]","Creates new user, verifies if the user is created"
"broken","Mon Dec 26 10:58:55 GMT 2022","Mon Dec 26 10:58:55 GMT 2022","0","tests","test_pet","TestPets","","","test_post_update_pet[sold]",""
"skipped","Mon Dec 26 10:59:07 GMT 2022","Mon Dec 26 10:59:08 GMT 2022","298","tests","test_user","","","","test_post_new_user_negative[simbols-simbols]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:58:55 GMT 2022","Mon Dec 26 10:58:55 GMT 2022","339","tests","test_pet","TestPets","","","test_get_pet_valid_status[sold]","Parameterization is used here, 4 tests will run"
"passed","Mon Dec 26 10:58:57 GMT 2022","Mon Dec 26 10:58:59 GMT 2022","1238","tests","test_user","","","","test_post_new_user_positive[upper-random]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:59:02 GMT 2022","Mon Dec 26 10:59:02 GMT 2022","296","tests","test_user","","","","test_post_new_user_negative[russian_string-negative]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:58:59 GMT 2022","Mon Dec 26 10:59:00 GMT 2022","1222","tests","test_user","","","","test_post_new_user_positive[lower-random]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:59:06 GMT 2022","Mon Dec 26 10:59:06 GMT 2022","297","tests","test_user","","","","test_post_new_user_negative[simbols-empty]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:58:54 GMT 2022","Mon Dec 26 10:58:54 GMT 2022","469","tests","test_pet","TestPets","","","test_get_pet_valid_status[available]","Parameterization is used here, 4 tests will run"
"skipped","Mon Dec 26 10:59:08 GMT 2022","Mon Dec 26 10:59:08 GMT 2022","311","tests","test_user","","","","test_post_new_user_negative[very_long_name-string]","Creates new user, verifies if the user is created"
