"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 28 09:40:04 GMT 2022","Wed Dec 28 09:40:04 GMT 2022","183","tests","test_user","","","","test_post_new_user_negative[simbols-empty]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:39:52 GMT 2022","Wed Dec 28 09:39:52 GMT 2022","618","tests","test_pet","TestPets","","","test_get_pet_valid_id",""
"passed","Wed Dec 28 09:39:57 GMT 2022","Wed Dec 28 09:39:57 GMT 2022","0","tests","test_pet","TestUser","","","test_1",""
"passed","Wed Dec 28 09:40:13 GMT 2022","Wed Dec 28 09:40:13 GMT 2022","158","tests","test_user","","","","test_get_login_negative[long pass-long name]",""
"passed","Wed Dec 28 09:40:13 GMT 2022","Wed Dec 28 09:40:13 GMT 2022","165","tests","test_user","","","","test_get_login_negative[long pass-backspace]",""
"skipped","Wed Dec 28 09:40:01 GMT 2022","Wed Dec 28 09:40:01 GMT 2022","159","tests","test_user","","","","test_post_new_user_negative[russian_string-negative]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:39:58 GMT 2022","Wed Dec 28 09:39:58 GMT 2022","490","tests","test_store","","","","test_get_order_by_id","Gets an order by ID, if order not found, create a new one."
"skipped","Wed Dec 28 09:40:02 GMT 2022","Wed Dec 28 09:40:02 GMT 2022","182","tests","test_user","","","","test_post_new_user_negative[negative_integer-string]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:40:12 GMT 2022","Wed Dec 28 09:40:13 GMT 2022","166","tests","test_user","","","","test_get_login_negative[kirill-very long name]",""
"passed","Wed Dec 28 09:40:14 GMT 2022","Wed Dec 28 09:40:14 GMT 2022","164","tests","test_user","","","","test_get_login_negative[very long pass-backspace]",""
"passed","Wed Dec 28 09:39:53 GMT 2022","Wed Dec 28 09:39:53 GMT 2022","300","tests","test_pet","TestPets","","","test_get_pet_valid_status[pending]","Parameterization is used here, 4 tests will run"
"passed","Wed Dec 28 09:40:11 GMT 2022","Wed Dec 28 09:40:11 GMT 2022","159","tests","test_user","","","","test_get_login_negative[one int-backspace]",""
"skipped","Wed Dec 28 09:40:05 GMT 2022","Wed Dec 28 09:40:05 GMT 2022","174","tests","test_user","","","","test_post_new_user_negative[very_long_name-whitespace]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:39:59 GMT 2022","Wed Dec 28 09:40:00 GMT 2022","693","tests","test_user","","","","test_post_new_user_positive[lower-random]","Creates new user, verifies if the user is created"
