"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 09:47:42 GMT 2022","Fri Dec 30 09:47:42 GMT 2022","157","tests","test_user","","","","test_get_login_negative[kirill-very long name]",""
"failed","Fri Dec 30 09:47:14 GMT 2022","Fri Dec 30 09:47:15 GMT 2022","515","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_russian_string-invalid_whitespace]","This test used parametrize fixture here, 35 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
"failed","Fri Dec 30 09:47:23 GMT 2022","Fri Dec 30 09:47:23 GMT 2022","475","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_very_long_name-invalid_non-existent status]","This test used parametrize fixture here, 35 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
"passed","Fri Dec 30 09:47:43 GMT 2022","Fri Dec 30 09:47:43 GMT 2022","163","tests","test_user","","","","test_get_login_negative[very long pass-backspace]",""
"failed","Fri Dec 30 09:47:20 GMT 2022","Fri Dec 30 09:47:20 GMT 2022","480","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_simbols-invalid_symbol]","This test used parametrize fixture here, 35 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
"passed","Fri Dec 30 09:47:39 GMT 2022","Fri Dec 30 09:47:39 GMT 2022","161","tests","test_user","","","","test_get_login_negative[@-backspace]",""
"passed","Fri Dec 30 09:47:36 GMT 2022","Fri Dec 30 09:47:37 GMT 2022","162","tests","test_user","","","","test_get_login_positive[int-random]",""
"passed","Fri Dec 30 09:47:25 GMT 2022","Fri Dec 30 09:47:26 GMT 2022","314","tests","test_pet","TestPets","","","test_put_update_pet[pending]","This test used parametrize fixture here, 3 tests will run.
        Update a pet by id,
        checks if the pet's name have been updated"
"skipped","Fri Dec 30 09:47:33 GMT 2022","Fri Dec 30 09:47:33 GMT 2022","164","tests","test_user","","","","test_post_new_user_negative[simbols-empty]","Creates new user, verifies if the user is created"
"skipped","Fri Dec 30 09:47:31 GMT 2022","Fri Dec 30 09:47:31 GMT 2022","159","tests","test_user","","","","test_post_new_user_negative[russian_string-whitespace]","Creates new user, verifies if the user is created"
"passed","Fri Dec 30 09:47:17 GMT 2022","Fri Dec 30 09:47:18 GMT 2022","470","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_whitespace_integer-invalid_empty]","This test used parametrize fixture here, 35 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
"passed","Fri Dec 30 09:47:28 GMT 2022","Fri Dec 30 09:47:28 GMT 2022","472","tests","test_store","","","","test_get_order_by_id","Gets an order by ID, if order not found, create a new one."
"passed","Fri Dec 30 09:47:08 GMT 2022","Fri Dec 30 09:47:08 GMT 2022","237","tests","test_pet","TestPets","","","test_get_pet_valid_status[available]","Parameterization is used here, 3 tests will run"
"skipped","Fri Dec 30 09:47:30 GMT 2022","Fri Dec 30 09:47:30 GMT 2022","163","tests","test_user","","","","test_post_new_user_negative[empty-empty]","Creates new user, verifies if the user is created"
"passed","Fri Dec 30 09:47:09 GMT 2022","Fri Dec 30 09:47:09 GMT 2022","198","tests","test_pet","TestPets","","","test_get_pet_invalid_status[non-existent status]","Parameterization is used here, 5 tests will run.
        Returns an empty list as there are no pets with that status"
"passed","Fri Dec 30 09:47:26 GMT 2022","Fri Dec 30 09:47:26 GMT 2022","326","tests","test_pet","TestPets","","","test_put_update_pet[sold]","This test used parametrize fixture here, 3 tests will run.
        Update a pet by id,
        checks if the pet's name have been updated"
"passed","Fri Dec 30 09:47:43 GMT 2022","Fri Dec 30 09:47:43 GMT 2022","162","tests","test_user","","","","test_get_login_negative[very long pass-one simbol]",""
"passed","Fri Dec 30 09:47:42 GMT 2022","Fri Dec 30 09:47:43 GMT 2022","156","tests","test_user","","","","test_get_login_negative[long pass-long name]",""
"passed","Fri Dec 30 09:47:37 GMT 2022","Fri Dec 30 09:47:37 GMT 2022","161","tests","test_user","","","","test_get_login_positive[int-lower]",""
"passed","Fri Dec 30 09:47:40 GMT 2022","Fri Dec 30 09:47:40 GMT 2022","156","tests","test_user","","","","test_get_login_negative[one int-backspace]",""
"failed","Fri Dec 30 09:47:17 GMT 2022","Fri Dec 30 09:47:17 GMT 2022","494","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_negative_integer-invalid_non-existent status]","This test used parametrize fixture here, 35 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by id and
        checks if the pet's name and status have been updated"
