"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 08 06:40:35 GMT 2023","Sun Jan 08 06:40:36 GMT 2023","167","tests","test_user","","","","test_get_login_negative[long pass-long name]",""
"passed","Sun Jan 08 06:40:28 GMT 2023","Sun Jan 08 06:40:28 GMT 2023","171","tests","test_user","","","","test_get_login_positive[upper-random]",""
"skipped","Sun Jan 08 06:40:25 GMT 2023","Sun Jan 08 06:40:25 GMT 2023","166","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-string]","Creates new user, verifies if the user is created"
"passed","Sun Jan 08 06:40:18 GMT 2023","Sun Jan 08 06:40:18 GMT 2023","333","tests","test_pet","TestPets","","","test_put_update_pet_without_id[sold]","This test used parametrize fixture here, 3 tests will run.
        Update pet name by name and status using PUT method,
        checks that the pet's name has been updated"
"skipped","Sun Jan 08 06:40:25 GMT 2023","Sun Jan 08 06:40:25 GMT 2023","166","tests","test_user","","","","test_post_new_user_negative[negative_integer-simbols]","Creates new user, verifies if the user is created"
"passed","Sun Jan 08 06:40:15 GMT 2023","Sun Jan 08 06:40:16 GMT 2023","498","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data_2[valid_name-invalid_empty]","This test used parametrize fixture here, 7 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have not been updated"
"passed","Sun Jan 08 06:40:00 GMT 2023","Sun Jan 08 06:40:00 GMT 2023","165","tests","test_pet","TestPets","","","test_get_pet_valid_id","Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id"
"passed","Sun Jan 08 06:40:10 GMT 2023","Sun Jan 08 06:40:11 GMT 2023","504","tests","test_pet","TestPets","","","test_post_update_pet_invalid_data[invalid_symbols-invalid_non-existent status]","This test used parametrize fixture here, 15 tests will run.
        Finds a pet by id, if there is a pet with this id, if there is no pet,
        then creates a pet finds it by id, update this pet by wrong id and
        checks if the pet's name and status have been not updated"
"skipped","Sun Jan 08 06:40:24 GMT 2023","Sun Jan 08 06:40:24 GMT 2023","167","tests","test_user","","","","test_post_new_user_negative[negative_integer-empty]","Creates new user, verifies if the user is created"
"skipped","Sun Jan 08 06:40:25 GMT 2023","Sun Jan 08 06:40:25 GMT 2023","166","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-negative]","Creates new user, verifies if the user is created"
