"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 28 09:48:50 GMT 2022","Wed Dec 28 09:48:50 GMT 2022","17","tests","test_user","","","","test_post_new_user_negative[negative_integer-whitespace]","Creates new user, verifies if the user is created"
"skipped","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","17","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-negative]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:48:50 GMT 2022","Wed Dec 28 09:48:50 GMT 2022","51","tests","test_pet","TestPets","","","test_put_update_pet[sold]",""
"skipped","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","22","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-whitespace]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","19","tests","test_user","","","","test_get_login_positive[int-lower]",""
"passed","Wed Dec 28 09:48:52 GMT 2022","Wed Dec 28 09:48:52 GMT 2022","16","tests","test_user","","","","test_get_login_negative[one int-int]",""
"skipped","Wed Dec 28 09:48:50 GMT 2022","Wed Dec 28 09:48:50 GMT 2022","18","tests","test_user","","","","test_post_new_user_negative[russian_string-whitespace]","Creates new user, verifies if the user is created"
"skipped","Wed Dec 28 09:48:50 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","19","tests","test_user","","","","test_post_new_user_negative[negative_integer-simbols]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","18","tests","test_user","","","","test_get_login_negative[empty-very long name]",""
"passed","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","18","tests","test_user","","","","test_get_login_negative[@-empty]",""
"passed","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","20","tests","test_user","","","","test_get_login_negative[backspace-very long name]",""
"skipped","Wed Dec 28 09:48:51 GMT 2022","Wed Dec 28 09:48:51 GMT 2022","18","tests","test_user","","","","test_post_new_user_negative[simbols-whitespace]","Creates new user, verifies if the user is created"
"passed","Wed Dec 28 09:48:49 GMT 2022","Wed Dec 28 09:48:49 GMT 2022","70","tests","test_pet","TestPets","","","test_post_add_new_pet[pending]",""
